,issue_d,last_pymnt_d
0,Dec-2018,Feb-2019
1,Dec-2018,Feb-2019
2,Dec-2018,Feb-2019
3,Dec-2018,Feb-2019
4,Dec-2018,Feb-2019
5,Dec-2018,Feb-2019
6,Dec-2018,Feb-2019
7,Dec-2018,Feb-2019
8,Dec-2018,Feb-2019
9,Dec-2018,Feb-2019
10,Dec-2018,Feb-2019
11,Dec-2018,Feb-2019
12,Dec-2018,Feb-2019
13,Dec-2018,Feb-2019
14,Dec-2018,Feb-2019
15,Dec-2018,Feb-2019
16,Dec-2018,Feb-2019
17,Dec-2018,Feb-2019
18,Dec-2018,Feb-2019
19,Dec-2018,Feb-2019
20,Dec-2018,Feb-2019
21,Dec-2018,Feb-2019
22,Dec-2018,Feb-2019
23,Dec-2018,Feb-2019
24,Dec-2018,Feb-2019
25,Dec-2018,Feb-2019
26,Dec-2018,Feb-2019
27,Dec-2018,Feb-2019
28,Dec-2018,Feb-2019
29,Dec-2018,Feb-2019
30,Dec-2018,Feb-2019
31,Dec-2018,Feb-2019
32,Dec-2018,Feb-2019
33,Dec-2018,Feb-2019
34,Dec-2018,Feb-2019
35,Dec-2018,Feb-2019
36,Dec-2018,Feb-2019
37,Dec-2018,Feb-2019
38,Dec-2018,Feb-2019
39,Dec-2018,Feb-2019
40,Dec-2018,Feb-2019
41,Dec-2018,Feb-2019
42,Dec-2018,Feb-2019
43,Dec-2018,Feb-2019
44,Dec-2018,Feb-2019
45,Dec-2018,Feb-2019
46,Dec-2018,Feb-2019
47,Dec-2018,Feb-2019
48,Dec-2018,Feb-2019
49,Dec-2018,Feb-2019
50,Dec-2018,Feb-2019
51,Dec-2018,Feb-2019
52,Dec-2018,Feb-2019
53,Dec-2018,Feb-2019
54,Dec-2018,Feb-2019
55,Dec-2018,Feb-2019
56,Dec-2018,Feb-2019
57,Dec-2018,Feb-2019
58,Dec-2018,Feb-2019
59,Dec-2018,Feb-2019
60,Dec-2018,Feb-2019
61,Dec-2018,Feb-2019
62,Dec-2018,Feb-2019
63,Dec-2018,Feb-2019
64,Dec-2018,Feb-2019
65,Dec-2018,Feb-2019
66,Dec-2018,Feb-2019
67,Dec-2018,Feb-2019
68,Dec-2018,Feb-2019
69,Dec-2018,Feb-2019
70,Dec-2018,Feb-2019
71,Dec-2018,Feb-2019
72,Dec-2018,Feb-2019
73,Dec-2018,Feb-2019
74,Dec-2018,Feb-2019
75,Dec-2018,Feb-2019
76,Dec-2018,Feb-2019
77,Dec-2018,Feb-2019
78,Dec-2018,Feb-2019
79,Dec-2018,Feb-2019
80,Dec-2018,Feb-2019
81,Dec-2018,Feb-2019
82,Dec-2018,Feb-2019
83,Dec-2018,Feb-2019
84,Dec-2018,Feb-2019
85,Dec-2018,Feb-2019
86,Dec-2018,Feb-2019
87,Dec-2018,Feb-2019
88,Dec-2018,Feb-2019
89,Dec-2018,Feb-2019
90,Dec-2018,Feb-2019
91,Dec-2018,Feb-2019
92,Dec-2018,Feb-2019
93,Dec-2018,Feb-2019
94,Dec-2018,Feb-2019
95,Dec-2018,Feb-2019
96,Dec-2018,Feb-2019
97,Dec-2018,Feb-2019
98,Dec-2018,Feb-2019
99,Dec-2018,Feb-2019
100,Dec-2018,Jan-2019
101,Dec-2018,Feb-2019
102,Dec-2018,Feb-2019
103,Dec-2018,Feb-2019
104,Dec-2018,Feb-2019
105,Dec-2018,Feb-2019
106,Dec-2018,Feb-2019
107,Dec-2018,Feb-2019
108,Dec-2018,Feb-2019
109,Dec-2018,Feb-2019
110,Dec-2018,Feb-2019
111,Dec-2018,Feb-2019
112,Dec-2018,Feb-2019
113,Dec-2018,Feb-2019
114,Dec-2018,Feb-2019
115,Dec-2018,Feb-2019
116,Dec-2018,Feb-2019
117,Dec-2018,Feb-2019
118,Dec-2018,Feb-2019
119,Dec-2018,Feb-2019
120,Dec-2018,Feb-2019
121,Dec-2018,Feb-2019
122,Dec-2018,Feb-2019
123,Dec-2018,Feb-2019
124,Dec-2018,Feb-2019
125,Dec-2018,Feb-2019
126,Dec-2018,Feb-2019
127,Dec-2018,Feb-2019
128,Dec-2018,Feb-2019
129,Dec-2018,Feb-2019
130,Dec-2018,Feb-2019
131,Dec-2018,Feb-2019
132,Dec-2018,Feb-2019
133,Dec-2018,Feb-2019
134,Dec-2018,Feb-2019
135,Dec-2018,Feb-2019
136,Dec-2018,Feb-2019
137,Dec-2018,Feb-2019
138,Dec-2018,Feb-2019
139,Dec-2018,Feb-2019
140,Dec-2018,Feb-2019
141,Dec-2018,Feb-2019
142,Dec-2018,Feb-2019
143,Dec-2018,Feb-2019
144,Dec-2018,Feb-2019
145,Dec-2018,Feb-2019
146,Dec-2018,Feb-2019
147,Dec-2018,Feb-2019
148,Dec-2018,Feb-2019
149,Dec-2018,Feb-2019
150,Dec-2018,Feb-2019
151,Dec-2018,Feb-2019
152,Dec-2018,Feb-2019
153,Dec-2018,Feb-2019
154,Dec-2018,Feb-2019
155,Dec-2018,Feb-2019
156,Dec-2018,Feb-2019
157,Dec-2018,Feb-2019
158,Dec-2018,Feb-2019
159,Dec-2018,Feb-2019
160,Dec-2018,Feb-2019
161,Dec-2018,Feb-2019
162,Dec-2018,Feb-2019
163,Dec-2018,Feb-2019
164,Dec-2018,Feb-2019
